RegionName,zori_current,zori_10yr_growth,zori_std,zhvi_current,zhvi_10yr_growth,zhvi_std,rental_yield,rental_yield_norm,zori_growth_norm,volatility_norm,zhvi_norm,volatility_score,zhvi_score,investment_score
"Aberdeen, WA",1339.809523809524,0.137241981822029,47.63513897991129,319953.704323276,0.9777734841516912,75468.58491937377,0.05025012702922055,0.2122522280747306,0.11772974673369319,0.050940171334056684,0.14470043930494836,0.9490598286659433,0.8552995606950516,0.39556173705269404
"Abilene, TX",1323.513468013468,0.6314895225231908,166.75577530318895,191093.0528652828,0.8080254654376754,31008.081793446345,0.08311218737689148,0.4755275625008658,0.41945410065800615,0.17882328263589295,0.06440698386312498,0.821176717364107,0.9355930161368751,0.5738419002842571
"Akron, OH",1255.654868906482,0.7187203220984988,169.20161416311052,221718.831193147,1.088082410833883,30107.022819563004,0.06795930839880555,0.3541298400736088,0.4727060735597282,0.1814490366009814,0.08348999748843743,0.8185509633990186,0.9165100025115626,0.538824951028322
"Alamogordo, NM",1457.8796296296296,0.13019483133990892,46.54711008479135,234976.24027211685,0.8853596706106516,37346.6899192106,0.07445244478886798,0.40614978759005693,0.11342765769707674,0.04977210738989987,0.09175072854258158,0.9502278926101001,0.9082492714574184,0.4773587180129077
"Albany, GA",1067.2344322344322,0.6040953765607445,149.14047056001203,154740.65903008045,0.8682731716917323,18570.446932088074,0.08276307770101739,0.4727306603682926,0.40273073774536194,0.15991220184738938,0.0417556990714914,0.8400877981526106,0.9582443009285087,0.5737534751942986
"Albany, NY",1628.6773348684758,0.5738546322908288,182.60259542869125,331486.77148194105,1.9393512312827872,52207.75120907697,0.058958998366806466,0.28202359936489435,0.3842696058718751,0.19583578965768242,0.15188672777652035,0.8041642103423176,0.8481132722234797,0.47373449079833174
"Albany, OR",1693.3186813186817,0.37639439532362234,132.8539054636202,410991.9380238967,1.1293619753990645,90762.487495305,0.04944093130761777,0.20576933345500026,0.2637256324205327,0.14242760235873236,0.2014266336741114,0.8575723976412677,0.7985733663258886,0.41279723926900236
"Albemarle, NC",1663.3333333333333,-0.0033057402436576767,31.778508148774414,288750.2735752058,1.190205003430146,55673.79091990059,0.06912547563284424,0.3634726221539203,0.03192927805428768,0.03391713193434061,0.12525748873738174,0.9660828680656594,0.8747425112626183,0.43565865701724815
"Albertville, AL",1688.3333333333333,0.0368329510570932,32.26348198475746,230494.5998591732,1.086708945889914,42002.454873149894,0.08789793779280897,0.5138687385531456,0.05643283083455148,0.034437780286798905,0.08895820506290424,0.9655622197132011,0.9110417949370958,0.5066939681079736
"Albuquerque, NM",1652.2765695840492,0.776358293036899,252.48832139194172,341094.06062021985,1.4769212727360526,54868.79740038742,0.05812859596252155,0.2753708068015737,0.5078924490310676,0.27086228672502183,0.15787305823204012,0.7291377132749781,0.8421269417679599,0.4925562942617414
"Alexandria, LA",1234.0873015873017,0.10024781084190824,30.164969953325972,155304.64890198098,1.1231025116380908,24545.551907438123,0.09535482500845295,0.5736098033161705,0.09514583600323707,0.032184902397904065,0.042107122839233624,0.9678150976020959,0.9578928771607664,0.5473399793639352
"Allentown, PA",1805.411886068173,0.6979900590839756,252.70438725259962,338565.05494278675,1.9301211251651562,52465.75195282211,0.06399048666283406,0.32233351145754063,0.460050825531858,0.2710942463195966,0.15629722726754053,0.7289057536804033,0.8437027727324595,0.4971000802519003
"Altoona, PA",899.7222222222222,0.04237669805683156,29.09254578661432,170209.2414279442,1.0453783663164251,21426.643730668926,0.06343173012281646,0.317857017489129,0.059817133929804034,0.031033591060864427,0.05139421880158859,0.9689664089391355,0.9486057811984114,0.43374180708226107
"Amarillo, TX",1359.753036437247,0.40078958080396276,134.99780295348793,206909.9179460852,0.7066027134733867,30969.18540273193,0.07886058145119325,0.4414657002775597,0.2786182135095097,0.14472920424551566,0.07426251956952902,0.8552707957544843,0.925737480430471,0.5237996513578207
"Ames, IA",1070.8180357142855,0.2590564491002189,71.48460497284111,248733.8808153388,0.7789371368495369,36311.902331586425,0.05166090114643927,0.2235546851812224,0.19209408527143235,0.07654399623124795,0.10032315531090284,0.923456003768752,0.8996768446890971,0.4217089848765789
"Anchorage, AK",1691.1657786885246,0.34327935170648255,157.13619300783787,391587.7713246688,1.841051017525599,64589.78151964063,0.051824880219347745,0.2248684082041285,0.2435098208731806,0.16849608701871205,0.1893358396526481,0.831503912981288,0.8106641603473519,0.4103675081745984
"Ann Arbor, MI",2080.3349216489423,0.6086425840837536,243.1996692560555,399174.31999418646,1.2345633498108677,64106.126368259735,0.06253914094511612,0.31070601381565244,0.40550668125353456,0.26089036438140806,0.19406304070790364,0.739109635618592,0.8059369592920964,0.47435003295524936
"Anniston, AL",994.6395502645502,0.06879948458436937,31.871547232328773,157859.659058952,0.4934080561700469,19874.414557038315,0.07560940315167712,0.4154187925356728,0.0759475089693872,0.03401701494239735,0.04369915727232847,0.9659829850576026,0.9563008427276716,0.47777845098937294
"Appleton, WI",1210.1964257964255,0.26922720816930157,63.9136120415694,323952.6047299336,0.9358324951534397,49166.418465167284,0.044828647454968965,0.16881788972543993,0.19830305032705067,0.06841608354055628,0.14719216604996582,0.9315839164594437,0.8528078339500342,0.3986156376751834
"Ardmore, OK",1147.361111111111,0.09790280453843608,44.955197898262966,175349.30570198453,1.898537654956544,32664.982111752637,0.07851946306952219,0.43873282062658203,0.09371427498654528,0.048063094664513875,0.05459700814873314,0.9519369053354861,0.9454029918512669,0.48853509099882036
"Asheville, NC",1872.3289923590892,0.9099855300586656,305.8213947207819,432490.0121624091,2.7351992486259875,86884.45162857675,0.051950212204835575,0.2258725089830968,0.5894681543949947,0.3281185234535715,0.2148221476529334,0.6718814765464285,0.7851778523470666,0.4800835304557295
"Ashland, OH",924.4444444444443,0.023576182838464046,19.50239615260681,228955.3543611517,1.0504248854003049,39441.550563629324,0.048451949788581174,0.1978460797876726,0.04833994316895819,0.020737993161952014,0.08799909661194542,0.979262006838048,0.9120009033880546,0.3806929065721716
"Ashtabula, OH",1016.25,0.11322736679436851,73.08918077735515,173243.63959593943,1.5305386735802822,25768.028713106014,0.07039219464820014,0.3736209777002093,0.10306949330343279,0.07826660410620946,0.05328496133111943,0.9217333958937906,0.9467150386688805,0.45938742211675976
"Astoria, OR",1620.0,0.057801409190164466,41.48428409792194,509220.0962245362,1.8145644947264323,99706.54496535649,0.03817602672033607,0.11552022883045437,0.06923349034620954,0.04433686158225025,0.2626328913980723,0.9556631384177497,0.7373671086019278,0.33184747717978735
"Athens, GA",1833.3768711785788,1.1363680824657112,320.73836491862266,358242.6149971417,1.7467564053800488,61975.73212431433,0.06141235445793762,0.3016787317128187,0.727668395650322,0.34413278109168216,0.16855837350226371,0.6558672189083179,0.8314416264977362,0.5532896178116614
"Athens, OH",1059.4444444444446,0.2531421083903403,74.40074457802884,171609.8489702445,0.6553525416702392,24880.67039775679,0.07408277211139383,0.40318814438325445,0.1884835450408329,0.07967464611033226,0.052266941529719696,0.9203253538896677,0.9477330584702803,0.4966586978905132
"Athens, TN",1156.6666666666667,0.16719318306522854,56.45287307726145,240281.03321576104,1.3680285439592657,47278.26202408063,0.057765691341673295,0.2724633860736039,0.13601412065600174,0.06040653506251398,0.09505616081402594,0.939593464937486,0.9049438391859741,0.4282026675323367
"Athens, TX",1481.9166666666667,0.056464626318846196,32.603667332794565,269478.0880994894,0.9694912840302294,51722.53389313415,0.0659905231086345,0.3383568605282232,0.06841742164587086,0.0348029895575773,0.11324893260909431,0.9651970104424227,0.8867510673909057,0.4375824795326257
"Atlanta, GA",1902.658458337832,0.8436450683431895,302.13141656484555,381340.4025990166,1.6021638737615562,74564.91924607531,0.05987275763187874,0.28934420779758907,0.548969150754539,0.32415711171349054,0.18295067370121482,0.6758428882865095,0.8170493262987852,0.49730193863257777
"Atlantic City, NJ",2253.677550357375,1.0051477814815748,369.3813916287134,363923.5722043624,2.297422640549554,58829.14361092176,0.07431266526781008,0.4050299399675066,0.6475620576804356,0.3963539729088815,0.17209819484589228,0.6036460270911185,0.8279018051541077,0.5597999792247678
"Auburn, AL",1618.5775335775334,0.6613632953708506,189.53949617383873,317666.99650749954,1.4560610457209273,49184.73716784718,0.0611424246663026,0.2995161814827835,0.43769120670198297,0.20328296654879624,0.14327558485918013,0.7967170334512037,0.8567244151408199,0.496129682808031
"Auburn, IN",848.8333333333334,-0.02653360288608629,9.40604675619134,236882.9873859305,1.066799392030236,40231.8811120794,0.043000133156058766,0.1541686952301632,0.017749315036389778,0.009898959611963165,0.09293882834410812,0.9901010403880368,0.9070611716558918,0.35571859784617876
"Auburn, NY",1366.111111111111,-0.050917281436832364,29.02691686509033,206257.5229097237,2.4893031366049856,35192.613184393675,0.07947992927515418,0.44642762304668304,0.0028637586073485648,0.030963134497376178,0.07385601028069748,0.9690368655026238,0.9261439897193026,0.4658519488733328
"Augusta, GA",1422.0882479321087,0.789631278016235,201.27140069912747,234168.28027081152,1.5045498202740735,38816.990542516585,0.0728751945201539,0.3935136020442884,0.5159952365772755,0.21587786612705542,0.09124728626109714,0.7841221338729446,0.9087527137389029,0.5599037099393772
"Augusta, ME",1441.0761904761905,0.9251099210033561,228.7058260543834,306403.10801234894,2.758895462850003,55950.0937494608,0.05643844280136131,0.26183009651049216,0.5987011737031164,0.2453303588226685,0.13625702241398036,0.7546696411773315,0.8637429775860197,0.5216506167092001
"Austin, MN",880.5555555555555,0.24174365586846971,54.09821737899996,191545.9814998964,1.7550687502098625,31478.22491495057,0.05516517017963324,0.2516292365596991,0.1815251073356713,0.05787867166258153,0.06468920504337043,0.9421213283374185,0.9353107949566296,0.43706457198772775
"Austin, TX",1693.109292985937,0.41985766645960704,212.63054220071314,449180.7065289724,1.5747000933882869,107218.33942881579,0.04523193276227853,0.17204882147554235,0.29025874856783457,0.2280725823557222,0.22522216898800806,0.7719274176442779,0.7747778310119919,0.3877604197906221
"Bakersfield, CA",1829.800290486565,0.8374377331597691,286.4642485602891,360114.6279526183,2.6795454018344915,74602.3369871993,0.06097392824800171,0.29816626761833176,0.5451797455606311,0.3073374719638014,0.16972483034635377,0.6926625280361987,0.8302751696536462,0.5043804532881264
